Country,Sector,Region,Sub-Region,ATC2,Corporation,Molecule List,Int-Product,NFC123,Int-Pack,Int-Strength,Int-Pack Size,Innovation Insights,Standard Units 2018-07,Standard Units 2019-07,Standard Units 2020-07,US$ MNF 2018-07,US$ MNF 2019-07,US$ MNF 2020-07,KG 2018-07,KG 2019-07,KG 2020-07
AUSTRIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,2282.0,1813.0,952.0,7920.0,5938.0,1996.0,0.024399999999999998,0.0194,0.009899999999999999
AUSTRIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,NON ORIGINAL BRANDED PRODUCTS,,1904.0,14028.0,,1077.0,7540.0,,0.004900000000000001,0.0373
AUSTRIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,NON ORIGINAL BRANDED PRODUCTS,,238.0,588.0,,130.0,314.0,,0.0006000000000000001,0.0016000000000000003
AUSTRIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 4MG+1MG 28,4MG+1MG,28,NON ORIGINAL BRANDED PRODUCTS,,1288.0,6272.0,,1175.0,5636.0,,0.0068000000000000005,0.033499999999999995
AUSTRIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 4MG+1MG 7,4MG+1MG,7,NON ORIGINAL BRANDED PRODUCTS,,126.0,210.0,,115.0,190.0,,0.0006000000000000001,0.0009000000000000002
AUSTRIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,NON ORIGINAL BRANDED PRODUCTS,,2660.0,15008.0,,4051.0,22516.0,,0.0284,0.1596
AUSTRIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,NON ORIGINAL BRANDED PRODUCTS,,84.0,210.0,,125.0,314.0,,0.0009000000000000002,0.002
AUSTRIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,109480.0,113428.0,93716.0,127220.0,119859.0,70619.0,0.2913,0.3016,0.24919999999999998
AUSTRIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,INNOVATIVE BRANDED PRODUCTS,2023.0,1386.0,1785.0,2351.0,1500.0,1335.0,0.0052,0.0036000000000000003,0.004699999999999999
AUSTRIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,77756.0,88872.0,71120.0,269601.0,277752.0,149380.0,0.8273000000000001,0.9456000000000002,0.7565999999999999
AUSTRIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,1029.0,903.0,350.0,3576.0,2879.0,734.0,0.011,0.0097,0.0036000000000000008
BELGIUM,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 1,2MG+500Y,1,INNOVATIVE BRANDED PRODUCTS,28453.0,36603.0,29463.0,27118.0,33103.0,25485.0,0.0758,0.0974,0.0783
BELGIUM,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 1,8MG+2MG,1,INNOVATIVE BRANDED PRODUCTS,13618.0,17994.0,15491.0,41704.0,52306.0,43045.0,0.1448,0.19149999999999998,0.16469999999999999
BELGIUM,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,438480.0,507136.0,524552.0,418536.0,457364.0,452431.0,1.1664,1.3490000000000002,1.3953000000000002
BELGIUM,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,INNOVATIVE BRANDED PRODUCTS,14791.0,14931.0,13993.0,14145.0,13415.0,12091.0,0.0393,0.0398,0.037399999999999996
BELGIUM,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,416164.0,441952.0,449484.0,1249459.0,1279966.0,1244211.0,4.428000000000001,4.7024,4.7824
BELGIUM,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,13622.0,12950.0,12691.0,41826.0,37538.0,35174.0,0.1451,0.1378,0.135
BOSNIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,INNOVATIVE BRANDED PRODUCTS,255472.0,205828.0,252490.0,203600.0,154092.0,179334.0,0.6798000000000001,0.5474000000000001,0.6715
BOSNIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,150346.0,187691.0,188874.0,421451.0,484556.0,464883.0,1.5996000000000001,1.9971,2.0095
BOSNIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,UNBRANDED PRODUCTS,,,1393.0,,,951.0,,,0.0036999999999999997
BOSNIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,UNBRANDED PRODUCTS,,,1057.0,,,2337.0,,,0.0114
CANADA,HOSPITAL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 12MG+3MG 28,12MG+3MG,28,INNOVATIVE BRANDED PRODUCTS,10584.0,68712.0,242480.0,59622.0,238813.0,1073473.0,0.1689,1.0966999999999998,3.8699000000000003
CANADA,HOSPITAL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 16MG+4MG 28,16MG+4MG,28,INNOVATIVE BRANDED PRODUCTS,5600.0,30240.0,84616.0,42735.0,134297.0,460626.0,0.1193,0.6435,1.8006
CANADA,HOSPITAL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,87836.0,259560.0,345772.0,125932.0,344295.0,434815.0,0.2337,0.6904000000000001,0.9198999999999999
CANADA,HOSPITAL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,INNOVATIVE BRANDED PRODUCTS,167076.0,28.0,,276178.0,25.0,,0.4443,0.0001,
CANADA,HOSPITAL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,52024.0,206052.0,308840.0,128566.0,474258.0,683677.0,0.5535,2.1924,3.286
CANADA,HOSPITAL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,399518.0,,,1044707.0,,,4.2509,,
CANADA,HOSPITAL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 2MG+500Y 100,2MG+500Y,100,UNBRANDED PRODUCTS,103600.0,1100.0,,76344.0,559.0,,0.2757,0.0031,
CANADA,HOSPITAL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 8MG+2MG 100,8MG+2MG,100,UNBRANDED PRODUCTS,,38600.0,,,33366.0,,,0.41069999999999995,
CANADA,HOSPITAL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,TEVA,BUPRENORPHINE!NALOXONE,BUPRENORPHINE TEVA,AAF SUBLING TABS,SUBL TAB 2MG+500Y 30,2MG+500Y,30,UNBRANDED PRODUCTS,30630.0,217770.0,90120.0,15831.0,90433.0,46731.0,0.0816,0.5793,0.2398
CANADA,HOSPITAL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,TEVA,BUPRENORPHINE!NALOXONE,BUPRENORPHINE TEVA,AAF SUBLING TABS,SUBL TAB 8MG+2MG 30,8MG+2MG,30,UNBRANDED PRODUCTS,150120.0,212730.0,109470.0,224433.0,165526.0,122335.0,1.5972999999999997,2.2634,1.1646999999999998
CANADA,RETAIL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 12MG+3MG 28,12MG+3MG,28,INNOVATIVE BRANDED PRODUCTS,10752.0,25928.0,46564.0,60238.0,143876.0,260684.0,0.17170000000000002,0.4139,0.7433
CANADA,RETAIL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 16MG+4MG 28,16MG+4MG,28,INNOVATIVE BRANDED PRODUCTS,7028.0,10920.0,29596.0,51954.0,80799.0,220598.0,0.1495,0.23240000000000002,0.6299000000000001
CANADA,RETAIL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,2539684.0,6997256.0,6196904.0,5368303.0,14520573.0,12923168.0,6.7555,18.6127,16.483600000000003
CANADA,RETAIL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,INNOVATIVE BRANDED PRODUCTS,4135222.0,126.0,1043.0,8726900.0,267.0,2191.0,10.9997,0.0003,0.0027
CANADA,RETAIL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,1589196.0,7395584.0,6427708.0,5887665.0,27256452.0,23815744.0,16.9091,78.68900000000001,68.3908
CANADA,RETAIL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,6389887.0,84.0,,23983888.0,144.0,,67.9884,0.0009,
CANADA,RETAIL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 2MG+500Y 100,2MG+500Y,100,UNBRANDED PRODUCTS,1923300.0,8800.0,,1649059.0,5104.0,,5.1159,0.0234,
CANADA,RETAIL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 8MG+2MG 100,8MG+2MG,100,UNBRANDED PRODUCTS,67400.0,348800.0,,98116.0,318283.0,,0.7170000000000001,3.7112,
CANADA,RETAIL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,TEVA,BUPRENORPHINE!NALOXONE,BUPRENORPHINE TEVA,AAF SUBLING TABS,SUBL TAB 2MG+500Y 30,2MG+500Y,30,UNBRANDED PRODUCTS,714060.0,1596840.0,1463430.0,434308.0,796026.0,977243.0,1.8995,4.2475000000000005,3.8926000000000007
CANADA,RETAIL,N AMERICA,NORTH AMERICA,N7 OTHER CNS DRUGS,TEVA,BUPRENORPHINE!NALOXONE,BUPRENORPHINE TEVA,AAF SUBLING TABS,SUBL TAB 8MG+2MG 30,8MG+2MG,30,UNBRANDED PRODUCTS,684810.0,1525110.0,1887810.0,672228.0,1350371.0,2112559.0,7.286300000000001,16.227199999999996,20.0863
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,ALKALOID,BUPRENORPHINE!NALOXONE,BULNEXO,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,NON ORIGINAL BRANDED PRODUCTS,,910.0,140.0,,430.0,65.0,,0.0024000000000000002,0.0004
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,ALKALOID,BUPRENORPHINE!NALOXONE,BULNEXO,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,NON ORIGINAL BRANDED PRODUCTS,,805.0,700.0,,1278.0,1090.0,,0.0085,0.0074
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,ALPHA-MEDICAL,BUPRENORPHINE!NALOXONE,BUPENSANDUO,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,NON ORIGINAL BRANDED PRODUCTS,,714.0,140.0,,276.0,53.0,,0.002,0.0004
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,ALPHA-MEDICAL,BUPRENORPHINE!NALOXONE,BUPENSANDUO,AAF SUBLING TABS,SUBL TAB 4MG+1MG 7,4MG+1MG,7,NON ORIGINAL BRANDED PRODUCTS,,70.0,385.0,,51.0,275.0,,0.0004,0.0021000000000000003
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,ALPHA-MEDICAL,BUPRENORPHINE!NALOXONE,BUPENSANDUO,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,NON ORIGINAL BRANDED PRODUCTS,,777.0,154.0,,1006.0,194.0,,0.0082,0.0016
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,INNOVATIVE BRANDED PRODUCTS,7623.0,7973.0,2821.0,5463.0,5467.0,1856.0,0.020199999999999996,0.0212,0.007600000000000001
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,10031.0,4123.0,1470.0,23968.0,9472.0,3225.0,0.10690000000000001,0.043899999999999995,0.0156
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MEDIS (SLOVENIA),BUPRENORPHINE!NALOXONE,ZUBSOLV,AAF SUBLING TABS,SUBL TAB 1.4MG+360Y 7,1.4MG+360Y,7,NON ORIGINAL BRANDED PRODUCTS,,126.0,420.0,,49.0,156.0,,0.00030000000000000003,0.0007
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MEDIS (SLOVENIA),BUPRENORPHINE!NALOXONE,ZUBSOLV,AAF SUBLING TABS,SUBL TAB 11.4MG+2.9MG 7,11.4MG+2.9MG,7,NON ORIGINAL BRANDED PRODUCTS,,105.0,49.0,,273.0,123.0,,0.0016,0.0007
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MEDIS (SLOVENIA),BUPRENORPHINE!NALOXONE,ZUBSOLV,AAF SUBLING TABS,SUBL TAB 2.9MG+710Y 7,2.9MG+710Y,7,NON ORIGINAL BRANDED PRODUCTS,,105.0,,,82.0,,,0.0004,
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MEDIS (SLOVENIA),BUPRENORPHINE!NALOXONE,ZUBSOLV,AAF SUBLING TABS,SUBL TAB 5.7MG+1.4MG 7,5.7MG+1.4MG,7,NON ORIGINAL BRANDED PRODUCTS,,476.0,602.0,,617.0,755.0,,0.0036000000000000003,0.0045000000000000005
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MEDIS (SLOVENIA),BUPRENORPHINE!NALOXONE,ZUBSOLV,AAF SUBLING TABS,SUBL TAB 8.6MG+2.1MG 7,8.6MG+2.1MG,7,NON ORIGINAL BRANDED PRODUCTS,,105.0,210.0,,206.0,397.0,,0.0012,0.0024000000000000002
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,UNBRANDED PRODUCTS,,,10213.0,,,6450.0,,,0.1086
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,NOVARTIS,BUPRENORPHINE!NALOXONE,BUNALICT,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,NON ORIGINAL BRANDED PRODUCTS,,1505.0,665.0,,645.0,278.0,,0.004,0.0018
CROATIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,NOVARTIS,BUPRENORPHINE!NALOXONE,BUNALICT,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,NON ORIGINAL BRANDED PRODUCTS,,1386.0,686.0,,1996.0,962.0,,0.0146,0.0072
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,ALKALOID,BUPRENORPHINE!NALOXONE,BULNEXO,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,NON ORIGINAL BRANDED PRODUCTS,,3962.0,8603.0,,1881.0,3970.0,,0.0106,0.022699999999999998
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,ALKALOID,BUPRENORPHINE!NALOXONE,BULNEXO,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,NON ORIGINAL BRANDED PRODUCTS,,5124.0,9933.0,,8117.0,15362.0,,0.054599999999999996,0.1058
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,ALPHA-MEDICAL,BUPRENORPHINE!NALOXONE,BUPENSANDUO,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,NON ORIGINAL BRANDED PRODUCTS,,1540.0,4711.0,,592.0,1761.0,,0.0041,0.0127
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,ALPHA-MEDICAL,BUPRENORPHINE!NALOXONE,BUPENSANDUO,AAF SUBLING TABS,SUBL TAB 4MG+1MG 7,4MG+1MG,7,NON ORIGINAL BRANDED PRODUCTS,,,3332.0,,,2363.0,,,0.0178
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,ALPHA-MEDICAL,BUPRENORPHINE!NALOXONE,BUPENSANDUO,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,NON ORIGINAL BRANDED PRODUCTS,,686.0,2268.0,,880.0,2840.0,,0.0073,0.024000000000000004
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,INNOVATIVE BRANDED PRODUCTS,573489.0,509075.0,456666.0,410979.0,348862.0,296811.0,1.5253999999999999,1.3542,1.2148
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,592872.0,526162.0,461139.0,1419114.0,1203908.0,1001725.0,6.308300000000001,5.5984,4.906599999999999
