Country,Sector,Region,Sub-Region,ATC2,Corporation,Molecule List,Int-Product,NFC123,Int-Pack,Int-Strength,Int-Pack Size,Innovation Insights,Month,Standard Units,US$ MNF,KG
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Apr 2020,"34,804",,0.3703
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Mar 2020,"58,604",,0.6235
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Feb 2020,"39,788",,0.4233
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Jan 2020,"45,864",,0.488
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Dec 2019,"48,468",,0.5157
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Nov 2019,"43,512",,0.463
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Oct 2019,"48,636",,0.5175
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Sep 2019,"51,688",,0.55
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Aug 2019,"45,388",,0.4829
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Jul 2019,"52,808",,0.5619
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Jun 2019,"43,848",,0.4665
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,May 2019,"52,164",,0.555
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Apr 2019,"49,532",,0.527
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Mar 2019,"44,856",,0.4773
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Feb 2019,"40,656",,0.4326
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Jan 2019,"43,652",,0.4645
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Dec 2018,"45,668",,0.4859
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Nov 2018,"43,372",,0.4615
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Oct 2018,"49,504",,0.5267
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Sep 2018,"43,456",,0.4624
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Aug 2018,"42,980",,0.4573
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Jul 2018,"42,392",,0.4511
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Jun 2018,"36,372",,0.387
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,May 2018,"44,464",,0.4731
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Apr 2018,"41,860",,0.4454
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Mar 2018,"43,456",,0.4624
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Feb 2018,"36,568",,0.3891
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Jan 2018,"40,796",,0.4341
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Dec 2017,"41,188",,0.4382
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Nov 2017,"41,692",,0.4436
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Oct 2017,"38,892",,0.4138
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Sep 2017,"41,608",,0.4427
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Aug 2017,"37,520",,0.3992
AUSTRALIA,RETAIL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Jul 2020,"400,148",$94,1.0644
AUSTRALIA,RETAIL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Jun 2020,"361,228",$83,0.9609
AUSTRALIA,RETAIL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,May 2020,"364,616",$79,0.9699
AUSTRALIA,RETAIL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Apr 2020,"336,812",$70,0.8959
AUSTRALIA,RETAIL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Mar 2020,"479,416",$99,1.2752
AUSTRALIA,RETAIL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Feb 2020,"373,296",$82,0.993
AUSTRALIA,RETAIL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Jan 2020,"370,972",$84,0.9868
AUSTRALIA,RETAIL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Dec 2019,"418,432",$95,1.113
AUSTRALIA,RETAIL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Nov 2019,"395,528",$90,1.0521
AUSTRALIA,RETAIL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Oct 2019,"416,500",$94,1.1079
